lag,real_synergy,median_synergy_cont_shuffle,p5_synergy_cont_shuffle,p95_synergy_cont_shuffle,median_synergy_blue_shuffle,p5_synergy_blue_shuffle,p95_synergy_blue_shuffle,real_info_leak,median_leak_cont_shuffle,p5_leak_cont_shuffle,p95_leak_cont_shuffle,median_leak_blue_shuffle,p5_leak_blue_shuffle,p95_leak_blue_shuffle
39,0.06786119414851884,0.029847955379964784,0.02381608497877641,0.03687947365667875,0.007510296485761834,0.002820565950999388,0.014188611234714462,0.3018932127965619,0.3264089776541209,0.31888220595822087,0.3342405541428474,0.4751074394276175,0.4653408643374355,0.48043323873075505
40,0.06670142150703756,0.03274778466442661,0.025687730508305168,0.04122675197495331,0.006253563236098013,0.0030182535767820057,0.01086835488891322,0.3101570405282121,0.33095301021558415,0.32450998570255857,0.33882513154371624,0.47833614589663187,0.4701096356315224,0.48537432957299603
41,0.05919951469925408,0.038079205293719,0.02911359430395579,0.04548164051963024,0.005282794590417388,0.0022417722399384133,0.009493802802719666,0.3133762737366217,0.3330751501945395,0.3267491011281041,0.3404363214821258,0.48231979019308646,0.473740254438886,0.4890474162107604
42,0.04441637952689837,0.036614907795473564,0.02859580252809043,0.04442322508622697,0.007091063771649412,0.0036789300554697394,0.010015453860320902,0.3142094793201506,0.33629761636557975,0.33013845630951394,0.3437529405868237,0.48311131535069984,0.4751975107910403,0.48957133185378526
43,0.06340036370387649,0.03425246647609808,0.027012960497669474,0.04227562098599011,0.005847957166554507,0.0024216358043752844,0.00859302202032949,0.3127788971498529,0.3354984094107945,0.3278516865828535,0.34351271908163694,0.483511317644294,0.4760749985059865,0.48973047254645813
44,0.0651634873511986,0.03778290063709404,0.03046775131713967,0.04467581154188746,0.005039551606595025,0.0018951319269487812,0.008207034354922843,0.30439262493618646,0.3336280953396221,0.3268390763563554,0.34136608491100606,0.48178209121515925,0.4759633616847178,0.4886382416638128
45,0.07911325500358522,0.039385604488041376,0.03210596297471691,0.04699900363734965,0.0055360842525725654,0.000491097416794141,0.009490304585809177,0.3107890578502859,0.3335017912374588,0.32524270929919424,0.3429120547915226,0.4877801458686378,0.48082332311656595,0.49461951194533216
46,0.08894470266746608,0.038050463420415306,0.030419331827436266,0.04509856817208831,0.0072247651888055755,0.0009679077501387694,0.010878108131183863,0.31262969986712186,0.33362893567668006,0.32459627414781395,0.340774197088216,0.48792750399414464,0.48110844517365753,0.49515626812529345
47,0.08398586098918942,0.03794864012970289,0.030451253363054143,0.044354860424660705,0.010501671801329363,0.006833773764591955,0.014885692011985186,0.3148417117686026,0.33222149374054327,0.32460279708860057,0.3400530102878042,0.49476864063664305,0.48786515544578757,0.5025803443767235
48,0.09041486577097564,0.037180985115565446,0.031042000541456376,0.04502375435045239,0.009212883806283927,0.0063612169886035075,0.013073691492001518,0.31938284262683675,0.3355006644101607,0.3267617760351687,0.3427741173266903,0.5029997460440832,0.4968575744510551,0.5102869975134654
49,0.09582325415805011,0.04500202718903028,0.03487707747446746,0.0539921064095684,0.010572366752612788,0.007428322128440691,0.01504963635670636,0.3267045889650279,0.3409549685553436,0.33468656396448293,0.3485561793300614,0.5029861974170268,0.4949938553958588,0.510736642007787
50,0.07977671443193808,0.0428842708501195,0.03447638515046304,0.05616795097081277,0.007900544657783998,0.0036565054180885724,0.01278543786932049,0.32670352379995987,0.34016903753082384,0.3314942552320881,0.34770353154076333,0.5037158164384282,0.4953044536466458,0.5107800467740976
51,0.08095353135804138,0.046042439904046856,0.038073159462355205,0.05342223638548401,0.008912481626498835,0.0034589352664814335,0.013962569592652857,0.3216491487064395,0.33773939374729045,0.32975455741877646,0.34644418576226255,0.5012803218834976,0.4931276104389666,0.5077489188948359
52,0.09113992332121043,0.05066270461934383,0.04320312970756718,0.05805537441425255,0.008337900979230185,0.004845602152018668,0.013162071204607535,0.31499783494037187,0.3340761124046905,0.32615511685575965,0.34293022294113207,0.5006236562377561,0.4935137204964709,0.5062995325438465
53,0.1045777783275329,0.05701270827696328,0.046741175273486466,0.06642942537490999,0.007685520335566617,0.0016206432354033285,0.011486926773489446,0.3120072495928446,0.3320232194637889,0.3222787746119922,0.337790772923369,0.5035766244247342,0.4952620355031542,0.5097425294309316
54,0.09684574868269387,0.05088197614060455,0.04193559901267791,0.06209546887111355,0.00703147457577467,0.0005270567994620292,0.010955797731283244,0.3217077342550826,0.33444133791509206,0.32635852628152895,0.34220509328436516,0.5063149854771507,0.49748391966411665,0.5124907455756792
55,0.10054225906493283,0.04618379136713244,0.036378392694660096,0.05596342605361804,0.005442433450255163,0.002237569622163724,0.009358926570054753,0.3127718101072056,0.33096879700330983,0.322646786929908,0.3375919904736267,0.4979291680478819,0.4899640357033821,0.5035260707552663
56,0.08226484563464952,0.05271455365958087,0.04282136780210864,0.06348007538900473,0.0010815686656910723,0.0,0.0045026975148587285,0.3088723742741163,0.3303911500325779,0.3216593055538753,0.3373403595406399,0.4932882112145261,0.48584856268718946,0.49999648617586007
57,0.07751350379448442,0.053520884018355135,0.04323043772840762,0.0659176268953735,0.005962181044046003,0.002397800333240097,0.009564225130960734,0.3034074862421102,0.3305981208832066,0.3210384363581837,0.3372155162100709,0.4915063867289294,0.4828277684303553,0.4975662482117371
58,0.07912869677053945,0.053802370845747405,0.042776573483799894,0.06705668035297895,0.007144004225891926,0.0029234065305694243,0.010479173033727574,0.3088410363211292,0.3284865105818634,0.3175190499787636,0.33376951686447803,0.49138941736239444,0.4828392128863499,0.49822148937165306
59,0.12072362375507481,0.05634804620267392,0.044261131954528146,0.06565548908318516,0.009249126156833565,0.002408576070800452,0.012524374565966424,0.2981882602450493,0.3202878514935237,0.312329677550201,0.32735476745637115,0.4875063759512266,0.4802844834865566,0.49501006743387005
60,0.10099106893205256,0.05046249067609405,0.04169909342868143,0.062434415956937356,0.008266519328019518,0.0013006138493173059,0.012161557509822703,0.3036805917930536,0.31778860079540544,0.3095833079618295,0.3267814908810146,0.4908457694514,0.48351171103516016,0.4979176210501737
