lag,real_cond_synergy,median_null_cond,p2_5_null_cond,p97_5_null_cond
92,0.28274568903891156,0.36864853068117354,0.26247815130517826,0.4669341182232688
93,0.28227170830180476,0.36200970381864295,0.2572454826195565,0.47250263960171984
94,0.27731655430007807,0.36192476250887134,0.2512477231245889,0.47050748860962865
95,0.27646047906458004,0.3636098724592744,0.2459705704467925,0.4651849331465033
96,0.2796641576830241,0.3653747950296674,0.24286613517782568,0.4660910855920129
97,0.28436640874221747,0.36574130813581407,0.23858690109883474,0.4626996260723219
98,0.2774758557386121,0.3657941270974675,0.23550793513538687,0.4619002931961021
99,0.26990499931652695,0.3618129561984248,0.2383339144956115,0.4580656169738042
100,0.2670109830474724,0.35814011309127713,0.23236617849424848,0.4521646650905381
101,0.2630338182116715,0.3553886774173627,0.22879447039412423,0.4430123293300353
102,0.2568421221103079,0.35340664058257454,0.22976601217242057,0.4415041077807209
103,0.254115329422473,0.3527882914656508,0.2351799986915352,0.4481216498263577
104,0.24777799715891372,0.353127316717267,0.2392164835142087,0.45236318601407194
105,0.24645036038614274,0.354069744601047,0.23785133620355145,0.45349752067347393
106,0.24645491175298143,0.3552489295249296,0.23634426189484187,0.45735802935201364
107,0.24122456372702294,0.35605766110989995,0.2403036875660483,0.4588524306838485
108,0.24417054448223852,0.3612240344555554,0.24828474721023674,0.4640946811736667
109,0.24168594992288409,0.360702903840616,0.25460308159806616,0.45637078639873796
110,0.24336277911223475,0.3624296497918277,0.2553841475881444,0.45685197742888345
111,0.24382441593758372,0.3594399530151189,0.2585564233039053,0.4611664295963792
112,0.24044083332821448,0.360990271811932,0.25837343978918614,0.46298829328682795
113,0.23846251092951354,0.36140021151868884,0.2623924693667054,0.46685344422347286
114,0.22908629859423493,0.3585975445405444,0.26122778386444845,0.46097575973011756
115,0.22451317717046926,0.3607680234706945,0.26182189084990937,0.46507268601787743
116,0.22148862494374175,0.3634219425081834,0.25866445357650425,0.46428557246955554
117,0.21975170546236866,0.3635412013228597,0.2561165354803047,0.4693786809587399
118,0.21738286948422392,0.3677561652263738,0.251578702866877,0.47648196042059754
119,0.21236544427813372,0.36629482702537036,0.24786965296885768,0.48373186883714575
