mjd,blue_wing_flux,blue_wing_error,core_flux,core_error,red_wing_flux,red_wing_error
47765.0,4.5870656179600005,0.1264219059777537,17.733072,0.12816694421675506,7.33280412,0.12798679986531736
47767.0,4.83030710304,0.12664295979055448,17.789012399999997,0.128453687973333,7.877773200000001,0.12827868479842158
47777.0,5.499049312,0.1389177443512527,19.980708,0.15128815705290352,8.71986468,0.14473700967635333
47797.0,6.582643152,0.14504504930049836,24.299844,0.16239410951526537,9.3962496,0.15082891556504674
47809.0,6.66284775568,0.14056134286674413,25.3805016,0.15523969100863866,9.002958,0.14526794040562702
47868.0,7.800247116,0.13320447892307524,24.1883472,0.13988134571811353,7.643655600000001,0.13505744393513747
47884.0,7.650990212000001,0.12862256558231763,25.3965048,0.13254414288304708,7.401105600000001,0.1300260094676015
47891.0,7.970765739999999,0.13183903384370502,25.4352144,0.13974843804028436,7.6424628,0.13409154225682693
47895.0,7.322567586,0.1329406643423268,23.6024052,0.1425690640814956,7.917255564,0.13627299782371563
47899.0,7.501386996,0.14021025362502415,22.9597416,0.1547303149400582,6.554878799999999,0.14354207407059436
47900.0,7.3223003544,0.12863566636817955,22.9940196,0.13242240912005188,6.2714952,0.13001996506133356
47912.0,6.1265919879999995,0.13392117469785875,19.8121932,0.14542565843755634,6.6947184,0.13877009143750826
47915.0,6.707490204,0.1309484040188104,19.9141896,0.13748178824641463,6.147641999999999,0.13348815067790848
47929.0,5.3482978364000004,0.12764200579205576,16.5763884,0.13080618079580184,5.867649599999999,0.12971639002962115
47949.0,4.882613872,0.12723732298452053,15.721195200000002,0.12982026540596503,6.3883764,0.12931914585762466
47957.0,4.743518008,0.12729782082210206,12.853554,0.12938742137552015,5.114593200000001,0.12908457835447268
47958.0,4.702649844000001,0.1268487909105767,12.827781600000002,0.128625626748943,5.281165199999999,0.12853243457549537
47971.0,4.028253026800001,0.1278966090097529,11.554590000000001,0.1307934259722804,5.1712572,0.13060668782857943
47982.0,3.9836936510000003,0.12692472821837045,10.0638984,0.12841857281204772,4.3849536,0.1286813435038786
47990.0,3.6320269858799996,0.12740913830000108,10.068408,0.1291677754721014,4.3143493,0.12919961727462198
47994.0,4.046701528,0.1282712838332945,10.71213,0.13055866643545036,4.7612375,0.13049779537608136
48007.0,5.3143287500000005,0.12848512968424633,12.469458,0.13088355160366943,5.0867075999999996,0.13033966142495843
48011.0,5.1021266404,0.13146163583382037,12.743355600000001,0.1355850676082938,5.604921599999999,0.13449445845642266
48013.0,5.2617314959999995,0.12919999472788843,12.8516916,0.1317489525347841,4.9282944,0.13099100094518248
48020.0,6.063979503999999,0.13020094078880384,14.2663716,0.13366702230377692,4.858171199999999,0.1320739720282721
48028.0,6.396113812,0.12781897367949094,15.163155599999998,0.12969834102343175,5.28952452,0.12918870395158238
48037.0,6.715208428,0.12928888319024492,16.0029168,0.13247643945025092,5.77731,0.13112718200584958
48044.0,7.164721414,0.1293621157900813,17.1578244,0.1325879851574795,6.1704984000000005,0.13103865838983547
48056.0,7.073232787999999,0.1298949798932784,17.3064792,0.13363303156573828,6.5940948,0.13191429981129413
48061.0,7.297089855239999,0.12748294435047225,17.9118,0.1295231626871055,6.1540704,0.1287580061156152
48068.0,7.1568810496,0.12852851491703154,17.222212799999998,0.1316067533628271,5.69438772,0.1301460956279765
48077.0,6.3034630992,0.12706352646313576,14.8699224,0.12876641812643544,4.8499411,0.12841749611871428
48089.0,4.838868128,0.1333027341425524,13.194628799999998,0.14029485764336197,5.609838,0.1380747422376736
48089.0,4.639167828,0.13172202682670806,12.615163200000001,0.13773907576424635,4.8697218,0.13569384743819743
48090.0,4.9388107392,0.12748167744838002,13.0945236,0.12947763738396836,4.9241331,0.12920963568366564
48097.0,5.086987548000001,0.1273009184028332,12.6133356,0.1289669849059425,4.9530899999999995,0.1288336617358367
48102.0,5.270054999999999,0.12736656335317523,12.883686,0.12915853590885892,5.857562400000001,0.12918965874462243
48128.0,7.7713068960000005,0.12780935278666894,16.863485999999998,0.12980153662595525,6.263079599999999,0.12913814088766185
48143.0,7.04278376,0.12875585957382132,14.765046000000002,0.1314574313790681,5.3369100000000005,0.13045098948078854
48148.0,6.71435734,0.1292278305250444,14.402702399999999,0.13208376919532844,5.4538931999999996,0.13107230026335845
48149.0,6.895805296,0.12762455331922304,14.4251088,0.12938489209291787,5.5938624,0.12904052877905917
48151.0,6.238467648,0.12899158356138435,13.8752196,0.1317043212282786,5.505544800000001,0.13089453397974415
48160.0,6.630033083999999,0.12917087638820757,13.6255152,0.13177087540199464,5.164154399999999,0.1309059854166554
48179.0,6.92701918,0.13530292939019464,15.723392399999998,0.14084018340135177,5.9849291,0.13781430278523052
48231.0,7.790961976,0.12987514024416527,18.9311136,0.13294043106415443,6.11914572,0.1311532328730939
48236.0,7.584328886000001,0.13172013197283397,19.019782799999998,0.1358982492463652,6.122001600000001,0.13310958322974648
48252.0,9.229897999999999,0.1326009666814537,20.4708324,0.13707139084641695,4.8930973276,0.13317488323782978
48267.0,9.499205290799999,0.1369776870529036,21.046416,0.1437725920040228,4.1860285919999995,0.1370390796843353
48275.0,8.818629728000001,0.13139128958203586,21.0449688,0.13529324330089512,4.663329888,0.13196838720727627
48280.0,8.544591046,0.1318207942933375,21.113631599999998,0.13618005748544534,4.7782881360000005,0.13260610187339644
48287.0,9.111865052,0.1322461805485633,21.098104799999998,0.13694583598890184,4.812089788,0.13302301222299845
48294.0,8.9992611848,0.1499307451471752,20.5967784,0.16337863265394775,4.4779044599999995,0.15001174289591598
48310.0,8.861085256,0.1331773085259377,19.664961599999998,0.13771144057660858,4.373646208,0.13374317659726795
48323.0,9.146935587999998,0.13592159969843204,21.424277999999997,0.14211939464764406,5.464420688000001,0.13659254417735106
48338.0,9.040896584,0.13212166479823056,22.219369200000003,0.1368202156206867,5.283855516,0.1329184270836636
48344.0,8.84919828,0.13928990837031663,21.7458708,0.14926153741729983,6.2895612000000005,0.14109896669958147
48351.0,9.012470848,0.12859891473267726,21.8838336,0.13142442961584272,5.745555599999999,0.12960168659552546
48352.0,8.355293112,0.13058964182947436,21.440322000000002,0.13505833093186367,5.308946316000001,0.1316811390780259
48365.0,7.125213508,0.13022405177011503,17.7299712,0.13386244597740174,4.7572495,0.13151681311706423
48378.0,6.770616008000001,0.13173674541410532,16.982932800000004,0.13589616420425119,5.43601572,0.13343865176944797
48386.0,6.7624809968,0.13788591474733886,17.0198904,0.14498238471760352,5.574100679999999,0.13998512248108652
48393.0,6.98524134,0.12930496452598253,17.3324016,0.13206666712989465,5.59729692,0.13066511445055257
48400.0,7.266848468,0.13185117775233712,17.481014400000003,0.13684643512107722,5.5754592,0.13371773892992958
48414.0,5.5465794368,0.1294820140421487,14.7445044,0.13241922520851723,4.5964005,0.13099792756423592
48421.0,4.4877889479999995,0.13015164755783,13.864979999999997,0.13307339808309698,3.98697464,0.1316688401010292
48431.0,5.250678740000001,0.13403491581904767,15.267408000000001,0.13892991898922277,4.633351287999999,0.13586273974105484
48455.0,6.4907577951999995,0.12999156873560685,18.0993948,0.1340351818121496,5.366030299999999,0.1316616428320352
48456.0,6.53719566,0.13007858988724624,17.7755076,0.13428479807840646,5.351388119999999,0.1317940849778927
