lag,core_synergy,red_synergy,blue_synergy
119,0.4785968351702003,0.575309683785215,0.5125643063150072
120,0.48288613470979386,0.568056483802322,0.5155544616816193
121,0.48508788233995753,0.5574928859407016,0.5080488684277543
122,0.4880208664144815,0.5563811106078059,0.5076741553355175
123,0.4877142842373844,0.5602192503034228,0.5055591372415199
124,0.4904101226942199,0.5594408512035517,0.5080622061906434
125,0.49426713984173226,0.5637312915158494,0.4964614976853675
126,0.4995068188802396,0.568764388943186,0.49396548374451155
127,0.5062726868115306,0.5814544747725442,0.49619524201488235
128,0.5079894911491393,0.5803939386083588,0.49557535034972944
129,0.5076909016387194,0.5810064422928377,0.49569608541877297
130,0.5080694197292512,0.5819871120016658,0.4951858983955245
131,0.5023003032313641,0.5834503627607773,0.4962676305730539
132,0.5026610380749366,0.5793940182233673,0.4975238628636216
133,0.5050307412033136,0.5658987195513354,0.4995686497152558
134,0.5051482132547425,0.5644137307257134,0.501424786114297
135,0.5042027267481353,0.5536357129299567,0.5014022319668142
136,0.502630427507977,0.5471678022061149,0.5068754007829768
137,0.4971618428403986,0.5459800697574035,0.5018457982583164
138,0.4943267611896311,0.5464154894496419,0.5024775140880722
139,0.4945396327538584,0.547838185571367,0.5070729492997412
140,0.49460968972228975,0.5455436730072896,0.5079988726240379
141,0.49652165501465284,0.5461307027887411,0.5093066736923905
142,0.4927604441441257,0.5405403230662092,0.5110195208551984
143,0.48847892550286076,0.5270062683658113,0.5140238546743452
144,0.4857859224398678,0.5196163227324477,0.5141707635878496
145,0.4840515510364197,0.5148790346979922,0.5189805739226253
146,0.4854433361842421,0.5113693649049088,0.5169452196855969
147,0.48622439049624905,0.5124846489822459,0.5192830154364293
148,0.48656242566682134,0.5090251610519833,0.5126861726160551
149,0.4929383253451577,0.5027990861707462,0.5179964926193208
150,0.4970637092029833,0.5064597663111223,0.5164534143161557
151,0.4928544592565662,0.5137822923831838,0.5094016736882452
152,0.4743536951831105,0.5185951455433334,0.5003390463041205
153,0.47596421919808984,0.521975299044753,0.48605241553873707
154,0.48431357183740964,0.5340846126128245,0.47290004062831553
155,0.49137821670866266,0.5366274168279784,0.46624551312098433
156,0.49682514049533244,0.5348740946070281,0.4571010517597672
157,0.5037627629427475,0.5317558452323002,0.4392754560879773
158,0.5070048372684424,0.5340732850586323,0.4276561569770198
159,0.5126582832008766,0.5385924596446706,0.4205008831642812
160,0.5113217454055591,0.5468063838706355,0.4188728895928144
161,0.5107508141163078,0.5487479555117004,0.40928378540392313
162,0.5042856078228353,0.543797713629109,0.4019317380777272
163,0.5061851966331101,0.5431583198652244,0.3937060622039164
164,0.5019966136722468,0.5457737545964291,0.3815277665644805
165,0.501464910177991,0.5362221443695713,0.37755534996179135
166,0.49475305348301757,0.5320577827810218,0.3782198419082378
167,0.486640654209317,0.5288797322272635,0.3819123386680631
168,0.47424997931701396,0.5238466543858309,0.3837311622438036
169,0.46485200802750776,0.5242785650641016,0.383777298034995
170,0.47490955796774154,0.5236703271264379,0.3732503575269844
171,0.46880261682553864,0.5157637955912504,0.3730616113747162
172,0.4778267773944702,0.5125607318483687,0.3719292333314526
173,0.47514064478057716,0.5141770278728658,0.3685581520285246
174,0.473521299708151,0.5167840037661656,0.37852749507282224
175,0.473550679712718,0.516086808641127,0.3773693092884466
176,0.4623195076301525,0.5119250101118276,0.37836245207476177
177,0.46969383117933583,0.5163982845848759,0.38668714732039333
178,0.46976353659020065,0.5194004903878339,0.39835250400107597
179,0.46142709154842826,0.5235649268288419,0.4073060879634349
180,0.4598636141853581,0.5244705056794505,0.41642727528015805
181,0.4652510271059599,0.5191227117378701,0.4166586868032612
182,0.47551032864837683,0.5170678215743058,0.420973232208362
183,0.4816527518486991,0.5215369124854642,0.4283532410495074
184,0.48876324664284954,0.5302829709979657,0.4394342567907242
185,0.4859785914450167,0.5398641489303866,0.44753950384620633
186,0.48278330155917415,0.5467966959989065,0.4612182677621788
187,0.48613205250329256,0.5503371212197931,0.4667127940739028
188,0.48783472596501504,0.5507302495362418,0.46892260933242874
189,0.4903632021839782,0.5514217639160439,0.466778885644817
190,0.49055167580234044,0.5539718246729781,0.46635744031183446
191,0.4907769014778938,0.5528587651247099,0.464002666340884
192,0.4868325855940979,0.5553281568402522,0.46074612349553773
193,0.4883576438413261,0.5660951325404443,0.4661285419163771
194,0.49905567339333234,0.5711624819156038,0.4676480892229602
195,0.5051163005275385,0.5796749898746281,0.47926780270495584
196,0.5040286559909405,0.5856273774151823,0.4832432808279818
197,0.4983090465381248,0.5915231328159655,0.48204648139140177
198,0.5005182070702444,0.5952475125384887,0.48440824979629005
199,0.4970828257964429,0.5966060525393337,0.4848780677616468
